batch_id,compare,pipeline,group,value,Metric,protocols_platforms,labs,type
P_ILM_L8_B1,D5/D6,StringTie2-SO,SO,0.724436019613783,RC,P_ILM,L8,isoform
P_ILM_L8_B1,F7/D6,StringTie2-SO,SO,0.677953454867354,RC,P_ILM,L8,isoform
P_ILM_L8_B1,M8/D6,StringTie2-SO,SO,0.710142590780369,RC,P_ILM,L8,isoform
R_BGI_L3_B1,D5/D6,StringTie2-SO,SO,0.785915272577929,RC,R_BGI,L3,isoform
R_BGI_L3_B1,F7/D6,StringTie2-SO,SO,0.725223274338971,RC,R_BGI,L3,isoform
R_BGI_L3_B1,M8/D6,StringTie2-SO,SO,0.778734764573445,RC,R_BGI,L3,isoform
R_BGI_L6_B1,D5/D6,StringTie2-SO,SO,0.726495733191196,RC,R_BGI,L6,isoform
R_BGI_L6_B1,F7/D6,StringTie2-SO,SO,0.69233330278419,RC,R_BGI,L6,isoform
R_BGI_L6_B1,M8/D6,StringTie2-SO,SO,0.72735105638317,RC,R_BGI,L6,isoform
R_BGI_L7_B1,D5/D6,StringTie2-SO,SO,0.66407276550339,RC,R_BGI,L7,isoform
R_BGI_L7_B1,F7/D6,StringTie2-SO,SO,0.663902319400338,RC,R_BGI,L7,isoform
R_BGI_L7_B1,M8/D6,StringTie2-SO,SO,0.613122704241624,RC,R_BGI,L7,isoform
R_ELE_LH_B1,D5/D6,StringTie2-SO,SO,0.764347681183804,RC,R_ELE,LH,isoform
R_ELE_LH_B1,F7/D6,StringTie2-SO,SO,0.744426797203446,RC,R_ELE,LH,isoform
R_ELE_LH_B1,M8/D6,StringTie2-SO,SO,0.746624194650874,RC,R_ELE,LH,isoform
R_ILM_L1_B1,D5/D6,StringTie2-SO,SO,0.770592905262181,RC,R_ILM,L1,isoform
R_ILM_L1_B1,F7/D6,StringTie2-SO,SO,0.711830242823278,RC,R_ILM,L1,isoform
R_ILM_L1_B1,M8/D6,StringTie2-SO,SO,0.727675915711862,RC,R_ILM,L1,isoform
R_ILM_L2_B1,D5/D6,StringTie2-SO,SO,0.67279974108422,RC,R_ILM,L2,isoform
R_ILM_L2_B1,F7/D6,StringTie2-SO,SO,0.631932978293337,RC,R_ILM,L2,isoform
R_ILM_L2_B1,M8/D6,StringTie2-SO,SO,0.639743184272442,RC,R_ILM,L2,isoform
R_ILM_L2_B2,D5/D6,StringTie2-SO,SO,0.79737193470239,RC,R_ILM,L2,isoform
R_ILM_L2_B2,F7/D6,StringTie2-SO,SO,0.77293519481685,RC,R_ILM,L2,isoform
R_ILM_L2_B2,M8/D6,StringTie2-SO,SO,0.678114500507378,RC,R_ILM,L2,isoform
R_ILM_L4_B1,D5/D6,StringTie2-SO,SO,0.701840423866726,RC,R_ILM,L4,isoform
R_ILM_L4_B1,F7/D6,StringTie2-SO,SO,0.697182791169505,RC,R_ILM,L4,isoform
R_ILM_L4_B1,M8/D6,StringTie2-SO,SO,0.688571805013628,RC,R_ILM,L4,isoform
R_ILM_L4_B2,D5/D6,StringTie2-SO,SO,0.809289703942574,RC,R_ILM,L4,isoform
R_ILM_L4_B2,F7/D6,StringTie2-SO,SO,0.769925446765507,RC,R_ILM,L4,isoform
R_ILM_L4_B2,M8/D6,StringTie2-SO,SO,0.761555657095342,RC,R_ILM,L4,isoform
R_ILM_L4_B3,D5/D6,StringTie2-SO,SO,0.757571428706103,RC,R_ILM,L4,isoform
R_ILM_L4_B3,F7/D6,StringTie2-SO,SO,0.723375638397456,RC,R_ILM,L4,isoform
R_ILM_L4_B3,M8/D6,StringTie2-SO,SO,0.714951556945964,RC,R_ILM,L4,isoform
R_ILM_L5_B1,D5/D6,StringTie2-SO,SO,0.719187501544819,RC,R_ILM,L5,isoform
R_ILM_L5_B1,F7/D6,StringTie2-SO,SO,0.719656557309923,RC,R_ILM,L5,isoform
R_ILM_L5_B1,M8/D6,StringTie2-SO,SO,0.713938603092268,RC,R_ILM,L5,isoform
R_ILM_L5_B2,D5/D6,StringTie2-SO,SO,0.780930905350739,RC,R_ILM,L5,isoform
R_ILM_L5_B2,F7/D6,StringTie2-SO,SO,0.712932157275382,RC,R_ILM,L5,isoform
R_ILM_L5_B2,M8/D6,StringTie2-SO,SO,0.744655039605471,RC,R_ILM,L5,isoform
R_ILM_L5_B3,D5/D6,StringTie2-SO,SO,0.568714463185873,RC,R_ILM,L5,isoform
R_ILM_L5_B3,F7/D6,StringTie2-SO,SO,0.485154784751299,RC,R_ILM,L5,isoform
R_ILM_L5_B3,M8/D6,StringTie2-SO,SO,0.546802516934374,RC,R_ILM,L5,isoform
R_ILM_L6_B1,D5/D6,StringTie2-SO,SO,0.71052848353397,RC,R_ILM,L6,isoform
R_ILM_L6_B1,F7/D6,StringTie2-SO,SO,0.667389455736607,RC,R_ILM,L6,isoform
R_ILM_L6_B1,M8/D6,StringTie2-SO,SO,0.668946265210138,RC,R_ILM,L6,isoform
R_ILM_L8_B1,D5/D6,StringTie2-SO,SO,0.702296203103001,RC,R_ILM,L8,isoform
R_ILM_L8_B1,F7/D6,StringTie2-SO,SO,0.659558257648635,RC,R_ILM,L8,isoform
R_ILM_L8_B1,M8/D6,StringTie2-SO,SO,0.676485501457303,RC,R_ILM,L8,isoform
D_ONT_LG_B1,D5/D6,IsoQuant,LO,0.91074960706794,RC,D_ONT,LG,isoform
D_ONT_LG_B1,F7/D6,IsoQuant,LO,0.941906258937301,RC,D_ONT,LG,isoform
D_ONT_LG_B1,M8/D6,IsoQuant,LO,0.940584587943932,RC,D_ONT,LG,isoform
D_ONT_LW_B1,D5/D6,IsoQuant,LO,0.946948963503348,RC,D_ONT,LW,isoform
D_ONT_LW_B1,F7/D6,IsoQuant,LO,0.94094251019976,RC,D_ONT,LW,isoform
D_ONT_LW_B1,M8/D6,IsoQuant,LO,0.940184503068403,RC,D_ONT,LW,isoform
I_PAB_LN_B1,D5/D6,IsoQuant,LO,0.796093486920355,RC,I_PAB,LN,isoform
